title,rating,qtd_votes,movie_url
Up: Altas Aventuras,8.3,1.1M,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_113
O Sol é para Todos,8.3,333K,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_114
Golpe de Mestre,8.3,279K,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_115
A Separação,8.3,258K,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_116
Indiana Jones e a Última Cruzada,8.2,810K,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_117
Duro de Matar,8.2,944K,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_118
Metrópolis,8.3,185K,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_119
Como Estrelas na Terra,8.3,206K,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_120
Snatch - Porcos e Diamantes,8.2,909K,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_121
Hamilton,8.3,113K,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_122
Los Angeles: Cidade Proibida,8.2,617K,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_123
1917,8.2,673K,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_124
Ladrões de Bicicletas,8.3,175K,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_125
Taxi Driver: Motorista de Táxi,8.2,919K,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_126
A Queda! As Últimas Horas de Hitler,8.2,375K,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_127
Dangal,8.3,210K,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_128
Por uns Dólares a Mais,8.2,274K,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_129
Batman Begins,8.2,1.6M,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_130
O Lobo de Wall Street,8.2,1.6M,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_131
Quanto Mais Quente Melhor,8.2,283K,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_132
Green Book: O Guia,8.2,569K,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_133
O Garoto,8.2,135K,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_134
Meu Pai,8.2,192K,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_135
Julgamento em Nuremberg,8.3,85K,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_136
A Malvada,8.2,139K,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_137
O Show de Truman: O Show da Vida,8.2,1.2M,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_138
Top Gun: Maverick,8.2,693K,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_139
Ilha do Medo,8.2,1.5M,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_140
Sangue Negro,8.2,640K,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_141
Cassino,8.2,563K,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_142
Ran,8.2,136K,https://www.imdb.com/title/tt0089881/?ref_=chttp_t_143
Jurassic Park - O Parque dos Dinossauros,8.2,1.1M,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_144
O Sexto Sentido,8.2,1M,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_145
O Labirinto do Fauno,8.2,702K,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_146
Os Imperdoáveis,8.2,436K,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_147
Onde os Fracos Não Têm Vez,8.2,1.1M,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_148
Uma Mente Brilhante,8.2,986K,https://www.imdb.com/title/tt0268978/?ref_=chttp_t_149
O Enigma de Outro Mundo,8.2,466K,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_150
O Tesouro da Sierra Madre,8.2,132K,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_151
Kill Bill: Volume 1,8.2,1.2M,https://www.imdb.com/title/tt0266697/?ref_=chttp_t_152
"Yojimbo, o Guarda-Costas",8.2,131K,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_153
Monty Python em Busca do Cálice Sagrado,8.2,570K,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_154
Fugindo do Inferno,8.2,259K,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_155
Procurando Nemo,8.2,1.1M,https://www.imdb.com/title/tt0266543/?ref_=chttp_t_156
Rashomon,8.2,180K,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_157
Os Suspeitos,8.2,808K,https://www.imdb.com/title/tt1392214/?ref_=chttp_t_158
O Castelo Animado,8.2,448K,https://www.imdb.com/title/tt0347149/?ref_=chttp_t_159
O Homem Elefante,8.2,258K,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160
Chinatown,8.1,349K,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_161
Disque M para Matar,8.2,189K,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_162
...E o Vento Levou,8.2,334K,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_163
V de Vingança,8.2,1.2M,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_164
"Jogos, Trapaças e Dois Canos Fumegantes",8.1,616K,https://www.imdb.com/title/tt0120735/?ref_=chttp_t_165
O Segredo dos Seus Olhos,8.2,222K,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_166
Divertida Mente,8.1,784K,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_167
Touro Indomável,8.1,380K,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_168
Três Anúncios para um Crime,8.1,554K,https://www.imdb.com/title/tt5027774/?ref_=chttp_t_169
Trainspotting: Sem Limites,8.1,725K,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_170
A Ponte do Rio Kwai,8.1,233K,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_171
Homem-Aranha: Sem Volta para Casa,8.2,876K,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_172
Fargo: Uma Comédia de Erros,8.1,726K,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_173
Klaus,8.2,189K,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_174
Prenda-Me se for Capaz,8.1,1.1M,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_175
Guerreiro,8.1,497K,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_176
Godzilla Minus One,8.3,48K,https://www.imdb.com/title/tt23289160/?ref_=chttp_t_177
Gran Torino,8.1,814K,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_178
Meu Amigo Totoro,8.1,379K,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_179
Menina de Ouro,8.1,721K,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_180
Harry Potter e as Relíquias da Morte - Parte 2,8.1,947K,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_181
Filhos do Paraíso,8.2,81K,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_182
12 Anos de Escravidão,8.1,740K,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_183
Blade Runner - O Caçador de Androides,8.1,822K,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_184
Antes do Amanhecer,8.1,339K,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_185
Ben-Hur,8.1,253K,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_186
O Grande Hotel Budapeste,8.1,885K,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_187
Barry Lyndon,8.1,183K,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_188
Garota Exemplar,8.1,1.1M,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_189
Até o Último Homem,8.1,593K,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_190
Em Busca do Ouro,8.1,118K,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_191
Em Nome do Pai,8.1,187K,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_192
Memórias de um Assassino,8.1,216K,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_193
Sociedade dos Poetas Mortos,8.1,545K,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_194
Sindicato de Ladrões,8.1,165K,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_195
Relatos Selvagens,8.1,216K,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_196
A General,8.1,98K,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_197
O Franco Atirador,8.1,362K,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_198
Mad Max: Estrada da Fúria,8.1,1.1M,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_199
Monstros S.A.,8.1,977K,https://www.imdb.com/title/tt0198781/?ref_=chttp_t_200
Bancando o Águia,8.2,57K,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_201
O 3º Homem,8.1,182K,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_202
O Salário do Medo,8.2,66K,https://www.imdb.com/title/tt0046268/?ref_=chttp_t_203
Morangos Silvestres,8.1,115K,https://www.imdb.com/title/tt0050986/?ref_=chttp_t_204
Tubarão,8.1,658K,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_205
Como Treinar o Seu Dragão,8.1,799K,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_206
Mary e Max - Uma Amizade Diferente,8.1,187K,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_207
A Mulher Faz o Homem,8.1,121K,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_208
Ratatouille,8.1,823K,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_209
Ford vs,8.1,472K,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_210
Era uma Vez em Tóquio,8.1,68K,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_211
O Grande Lebowski,8.1,859K,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_212
O Sétimo Selo,8.1,198K,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_213
O Quarto de Jack,8.1,450K,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_214
"Rocky, um Lutador",8.1,627K,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_215
Logan,8.1,830K,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_216
Spotlight: Segredos Revelados,8.1,502K,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_217
Hotel Ruanda,8.1,372K,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_218
Platoon,8.1,439K,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_219
O Exterminador do Futuro,8.1,923K,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_220
O Martírio de Joana D'Arc,8.1,61K,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_221
Antes do Pôr do Sol,8.1,287K,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_222
O Ódio,8.1,196K,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_223
Os Melhores Anos de Nossa Vida,8.1,70K,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_224
Piratas do Caribe: A Maldição do Pérola Negra,8.1,1.2M,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_225
O Exorcista,8.1,454K,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_226
Rush: No Limite da Emoção,8.1,513K,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_227
Jai Bhim,8.7,217K,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_228
Rede de Intrigas,8.1,170K,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_229
Conta Comigo,8.1,441K,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_230
O Mágico de Oz,8.1,428K,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_231
Os Incríveis,8.0,807K,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_232
Sempre ao Seu Lado,8.1,311K,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_233
A Criada,8.1,172K,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_234
Na Natureza Selvagem,8.1,657K,https://www.imdb.com/title/tt0758758/?ref_=chttp_t_235
Meu Pai e Meu Filho,8.2,93K,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_236
A Noviça Rebelde,8.1,260K,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_237
A Batalha de Argel,8.1,66K,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_238
As Vinhas da Ira,8.1,100K,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_239
Ser ou Não Ser,8.1,43K,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_240
Feitiço do Tempo,8.0,684K,https://www.imdb.com/title/tt0107048/?ref_=chttp_t_241
Amores Brutos,8.1,253K,https://www.imdb.com/title/tt0245712/?ref_=chttp_t_242
"Rebecca, a Mulher Inesquecível",8.1,147K,https://www.imdb.com/title/tt0032976/?ref_=chttp_t_243
O Gigante de Ferro,8.1,227K,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_244
Rebeldia Indomável,8.1,188K,https://www.imdb.com/title/tt0061512/?ref_=chttp_t_245
Histórias Cruzadas,8.1,492K,https://www.imdb.com/title/tt1454029/?ref_=chttp_t_246
Aconteceu Naquela Noite,8.1,112K,https://www.imdb.com/title/tt0025316/?ref_=chttp_t_247
Aladdin,8.0,466K,https://www.imdb.com/title/tt0103639/?ref_=chttp_t_248
Dança com Lobos,8.0,290K,https://www.imdb.com/title/tt0099348/?ref_=chttp_t_249
"Paris, Texas",8.1,118K,https://www.imdb.com/title/tt0087884/?ref_=chttp_t_250
